test_name                                                               Iter_num  testStaus  NumErrors  SimTime[ns]    seed   
pixie_du_mem_shadow_nvm_image_test_otp_pgm_fast.cfg                        3         PASS        0       2706971   865577720 
pixie_fw_func_test_otp_sw_power_off.cfg                                    3         PASS        0       18325678  2037583931
pixie_fw_func_test_otp_boot_off.cfg                                        3         PASS        0       4910114   486588463 
pixie_fw_radio_test.cfg                                                    3         PASS        0       4859751    58268375 
pixie_fw_temp_sens_test_e2.cfg                                             3         PASS        0       5979036   1567174817
pixie_fll_fw_basic_test_symclb.cfg                                         3         PASS        0       3621459   1920638044
pixie_fll_fw_basic_test_loclb.cfg                                          3         PASS        0       29176195  1041969931
pixie_fll_fw_basic_test_meas.cfg                                           3         PASS        0       25453629  1657530319
pixie_fll_fw_basic_test_rdi_measurelc.cfg                                  3         PASS        0       3087527   639791333 
pixie_fll_fw_basic_test_ble5_bu.cfg                                        3         PASS        0       18696771  1528689778
pixie_fw_rc_sens_test_e2.cfg                                               3         PASS        0       7453648   752146776 
pixie_e0_fll_b2b_test.cfg                                                  3         PASS        0       4770262   1253283914
pixie_fw_lodiv2sym_test.cfg                                                3         PASS        0       10750161  1813309264
pixie_fw_func_test_spu_func.cfg                                            3         PASS        0       3824162    4741108  
pixie_fw_func_test_spu_func_two.cfg                                        3         PASS        0       9681935   1821042483
pixie_e0_spu_long_branch_test.cfg                                          3         PASS        0       14444521  288364191 
pixie_e0_spu_jumplink_test.cfg                                             3         PASS        0       22942140  371049759 
pixie_e0_spu_lbranch_all_test.cfg                                          3         PASS        0       17149710  320724564 
pixie_fw_func_test_spu_short_branch.cfg                                    3         PASS        0       2389818   184094258 
pixie_fw_func_test_spu_srr.cfg                                             3         PASS        0       8721495    3219213  
pixie_fw_func_test_mcu_rom_spu_parallel.cfg                                3         PASS        0       2443450   464414547 
pixie_spu_bar_limit_test.cfg                                               3         PASS        0       1273256   2046586590
pixie_fw_func_test_jumplink_jump.cfg                                       3         PASS        0       19593358  1340574216
pixie_fw_func_test_rom_ljump128.cfg                                        0      FW_COMPILE_FAIL     0          0          0     
pixie_fw_func_test_jump256.cfg                                             3         PASS        0       2533575   929980304 
pixie_e0_spu_all_bars_access_test.cfg                                      3         PASS        0       79672930  2118996579
pixie_fw_spu_events_test.cfg                                               3         PASS        0       27722451  1420402146
pixie_du_tcu_connectivity_test.cfg                                         3         PASS        0       7013479   1692024623
pixie_du_gpio_test.cfg                                                     3         PASS        0       3046594   918511761 
pixie_fw_gpio_test.cfg                                                     3         PASS        0       24521688  383225906 
pixie_du_crc_test.cfg                                                      3         PASS        0       3294540   102777382 
pixie_du_crc_rom_test.cfg                                                  3         PASS        0       9649609   1296299560
pixie_du_adc_test.cfg                                                      3         PASS        0       1889736   1154039468
pixie_du_tdrs_func_test.cfg                                                3         PASS        0       4312880   226089733 
pixie_du_tdrs_cfgdata_test.cfg                                             3         PASS        0       2923896   844446721 
pixie_du_vstart_test.cfg                                                   3         PASS        0       1268148   646855038 
pixie_du_prctl_test.cfg                                                    3         PASS        0       36912112  245532369 
pixie_atop_connectivity_test.cfg                                           3         PASS        0       4196364   260718908 
pixie_events_connectivity_test.cfg                                         3         PASS        0       8921359   1287467105
pixie_du_matrix_off_test.cfg                                               3         PASS        0       1414644   1335949150
pixie_pd_off_test.cfg                                                      3         PASS        0       1449101   658824147 
pixie_fw_dev_debug_mode_gcr_test.cfg                                       3         PASS        0       1994190   1893351894
pixie_fw_dev_debug_mode_adc_test.cfg                                       3         PASS        0       22054889  1765451265
pixie_du_vdd_off_test.cfg                                                  3         PASS        0       1578384   1468377881
pixie_du_lab_flow_test_e2.cfg                                              3         PASS        0       4319367   1159253476
pixie_du_crc_test_harv_jtag.cfg                                            3         PASS        0       1843035   413297748 
pixie_du_gpio_test_harv_jtag.cfg                                           3         PASS        0       2335270   1144462729
pixie_du_matrix_off_test_harv_jtag.cfg                                     3         PASS        0       1079690    35057050 
pixie_du_trace_buffer_w_pointer_test_harv_jtag.cfg                         3         PASS        0       3157959    8591273  
pixie_e0_cle_test_cle_max_steps.cfg                                        3         PASS        0       13153689  1217174321
pixie_du_trace_buffer_test.cfg                                             3         PASS        0       4022794   1024369352
pixie_du_trace_buffer_dyn_size_test.cfg                                    3         PASS        0       3386099   167357798 
pixie_du_trace_buffer_w_pointer_test.cfg                                   3         PASS        0       6750315    1609920  
pixie_du_trace_buffer_wu_mode_test.cfg                                     3         PASS        0       3757625   932482347 
pixie_du_trace_buffer_fll_done_test.cfg                                    3         PASS        0       11569115  1475629206
pixie_du_mem_shadow_nvm_test.cfg                                           3         PASS        0       1772118   925421712 
pixie_du_mem_shadow_nvm_image_test_spu_func_two.cfg                        3         PASS        0       4806298   1687214412
pixie_du_mem_shadow_nvm_image_test_mcu_010_013.cfg                         3         PASS        0       4264748   722696844 
pixie_du_mem_shadow_nvm_image_spu_jl_test.cfg                              3         PASS        0       4999332   970001916 
pixie_du_mem_shadow_nvm_rom_image_test.cfg                                 3         PASS        0       10556619  296147215 
pixie_du_mem_shadow_nvm_image_test_multi_nvm.cfg                           3         PASS        0       6179518   2118996375
pixie_du_mem_shadow_rom_image_test.cfg                                     3         PASS        0       8394448   1715323824
pixie_du_mem_shadow_rom_sw_test.cfg                                        3         PASS        0       19864807  1692810247
pixie_du_mem_shadow_hwsrom_test.cfg                                        3         PASS        0       7101460   2113511480
pixie_du_read_modify_write_test.cfg                                        3         PASS        0       4427127   1634769856
pixie_fw_func_test_mcu_rom_rmw.cfg                                         3         PASS        0       5797218   1700425191
pixie_fw_func_test_mcu_rmw_sq.cfg                                          3         PASS        0       33471562  1875698015
pixie_fw_func_test_mcu_rmw_nvm.cfg                                         3         PASS        0       29578109   19069886 
pixie_fw_dev_debug_mode_test_rmw_du.cfg                                    3         PASS        0       3463655   108626121 
pixie_mem_access_all_rams_test_jtag.cfg                                    3         PASS        0       11890732  233458867 
pixie_mem_access_all_roms_test_jtag.cfg                                    3         PASS        0       3304150   1132375157
pixie_rgu_all_regs_wr_test_jtag.cfg                                        3         PASS        0       17820677  1369012731
pixie_hwscmd_reg_test.cfg                                                  3         PASS        0       1692315   1317168168
pixie_fw_func_test_latch_mem.cfg                                           3         PASS        0       12202712  1084164604
pixie_fw_func_test_multiple_read_nvm.cfg                                   3         PASS        0       15566548  793346206 
pixie_fw_func_test_multiple_read_nvm_slow.cfg                              3         PASS        0       20168360  1729486389
pixie_fw_func_test_multiple_read_nvm_fast.cfg                              3         PASS        0      666070436  649182201 
pixie_fw_func_test_multiple_read_rom.cfg                                   3         PASS        0       8270025   865490169 
pixie_srr_bu_test.cfg                                                      3         PASS        0       7995900   1294758994
pixie_du_drr_direct_test.cfg                                               3         PASS        0       1881999   463819331 
pixie_fw_func_test_drr_wr.cfg                                              3         PASS        0       4049379   1270687357
pixie_du_soc_clk_gen_test.cfg                                              3         PASS        0       15187990  746465057 
pixie_du_clk_en_test.cfg                                                   3         PASS        0       8991285   1185800970
pixie_fll_sa_lo_test.cfg                                                   0         FAIL        1       2825451       0     
pixie_fll_sa_sym_test.cfg                                                  3         PASS        0       1971055   1700041153
pixie_fll_fast_update_wu2_test.cfg                                         3         PASS        0       1991933   1257015555
pixie_fll_fast_update_si_test.cfg                                          3         PASS        0       2038383   260069408 
pixie_trng_test.cfg                                                        3         PASS        0       2329891   1215731235
pixie_fmu_multiple_rdrs_test.cfg                                           3         PASS        0       21381613  1023894516
